timestamps,Fz,F3,C4,Cz,Pz,P3,O2,O1,Marker
14771.403,-17203.109,-15065.902,-11593.180,-15740.456,-1211.822,-17211.223,-9032.474,-6716.453,0
14771.404,-17198.639,-15062.304,-11590.788,-15734.466,-1213.834,-17207.871,-9031.379,-6715.671,0
14771.404,-17193.432,-15058.393,-11586.272,-15724.027,-1213.320,-17199.266,-9032.810,-6713.525,0
14771.404,-17192.537,-15057.521,-11587.167,-15725.101,-1213.119,-17199.041,-9033.658,-6713.838,0
14771.404,-17192.672,-15059.421,-11587.100,-15730.532,-1210.861,-17201.725,-9027.803,-6708.295,0
14771.404,-17192.336,-15054.414,-11588.799,-15735.762,-1213.096,-17205.457,-9025.522,-6706.351,0
14771.404,-17187.418,-15048.356,-11584.663,-15729.728,-1215.287,-17200.383,-9022.550,-6703.132,0
14771.404,-17184.312,-15045.384,-11579.970,-15720.272,-1216.896,-17193.990,-9023.042,-6704.562,0
14771.404,-17185.451,-15044.691,-11581.020,-15720.720,-1216.583,-17193.699,-9024.092,-6706.552,0
14771.404,-17190.838,-15051.062,-11586.071,-15729.369,-1216.225,-17198.662,-9022.818,-6704.048,0
14771.404,-17191.822,-15053.252,-11587.145,-15732.142,-1215.533,-17200.986,-9020.113,-6702.528,0
14771.404,-17190.391,-15052.380,-11586.161,-15729.280,-1218.148,-17200.047,-9021.768,-6705.769,0
14771.405,-17181.943,-15042.479,-11578.449,-15717.657,-1214.750,-17190.838,-9021.656,-6704.115,0
14771.405,-17182.814,-15042.456,-11580.372,-15718.842,-1214.840,-17191.531,-9024.249,-6705.322,0
14771.405,-17189.297,-15049.362,-11586.250,-15728.274,-1214.884,-17196.783,-9022.482,-6704.428,0
14771.464,-17192.314,-15053.766,-11588.374,-15733.438,-1215.018,-17200.338,-9019.688,-6701.880,0
14771.464,-17190.861,-15051.643,-11586.295,-15728.386,-1213.677,-17196.896,-9019.890,-6701.880,0
14771.464,-17188.268,-15048.692,-11583.031,-15720.183,-1211.196,-17189.207,-9021.566,-6702.081,0
14771.464,-17191.264,-15051.933,-11586.139,-15722.463,-1211.174,-17189.699,-9022.036,-6702.707,0
14771.464,-17197.344,-15059.645,-11590.430,-15731.762,-1212.560,-17195.822,-9020.203,-6701.187,0
14771.464,-17202.506,-15062.863,-11592.643,-15737.350,-1212.649,-17199.668,-9018.393,-6700.628,0
14771.464,-17201.076,-15061.008,-11586.295,-15730.688,-1209.364,-17194.393,-9016.381,-6699.578,0
14771.464,-17201.768,-15064.674,-11582.227,-15722.239,-1208.246,-17189.855,-9021.544,-6703.646,0
14771.464,-17207.916,-15072.608,-11585.356,-15724.854,-1207.553,-17192.939,-9025.165,-6708.183,0
14771.464,-17216.744,-15079.426,-11593.022,-15734.556,-1207.128,-17200.227,-9023.556,-6708.228,0
