timestamps,Fz,F3,C4,Cz,Pz,P3,O2,O1,Marker
14134.640,-9564.848,-8817.674,-3492.438,-7328.534,3231.794,-10695.757,-2861.783,-617.556,0
14134.640,-9566.592,-8818.165,-3496.998,-7333.339,3233.515,-10695.221,-2865.248,-609.845,0
14134.640,-9567.619,-8823.955,-3498.808,-7347.443,3237.248,-10702.373,-2856.933,-588.678,0
14134.641,-9564.870,-8823.820,-3493.622,-7350.863,3240.467,-10704.474,-2841.711,-580.721,0
14134.641,-9563.238,-8819.395,-3488.191,-7340.581,3238.008,-10699.311,-2845.623,-595.272,0
14134.641,-9564.691,-8815.126,-3489.309,-7329.741,3234.253,-10690.817,-2859.861,-604.324,0
14134.641,-9567.530,-8818.702,-3494.159,-7335.127,3233.269,-10694.058,-2860.375,-609.912,0
14134.641,-9566.814,-8822.100,-3494.338,-7346.907,3237.449,-10701.881,-2843.388,-598.155,0
14134.641,-9564.736,-8822.211,-3491.767,-7350.237,3239.394,-10701.948,-2838.314,-577.659,0
14134.642,-9565.451,-8820.981,-3490.538,-7341.140,3235.706,-10694.572,-2852.619,-575.312,0
14134.642,-9566.814,-8816.243,-3491.544,-7329.405,3232.241,-10687.866,-2855.234,-594.042,0
14134.642,-9567.978,-8816.243,-3496.014,-7334.188,3230.743,-10693.275,-2859.593,-610.985,0
14134.642,-9566.278,-8818.970,-3496.662,-7346.102,3235.303,-10700.160,-2852.619,-593.729,0
14134.642,-9562.612,-8820.043,-3493.823,-7350.058,3236.488,-10702.283,-2846.472,-576.831,0
14134.643,-9562.121,-8820.535,-3491.700,-7341.073,3233.336,-10695.868,-2845.511,-576.653,0
14134.700,-9561.115,-8817.160,-3491.991,-7330.344,3228.352,-10690.884,-2867.371,-601.910,0
14134.701,-9564.445,-8819.708,-3497.668,-7335.440,3229.156,-10694.371,-2871.953,-606.604,0
14134.701,-9564.848,-8825.140,-3496.953,-7347.734,3234.879,-10703.558,-2845.198,-595.451,0
14134.701,-9563.552,-8827.620,-3494.338,-7351.176,3238.142,-10702.887,-2834.447,-570.707,0
14134.701,-9560.534,-8821.831,-3491.432,-7340.201,3233.113,-10697.813,-2858.028,-595.026,0
14134.701,-9563.932,-8820.870,-3495.165,-7329.293,3230.364,-10692.270,-2864.354,-602.223,0
14134.702,-9564.110,-8819.596,-3498.629,-7333.026,3230.520,-10695.086,-2861.493,-602.201,0
14134.702,-9560.847,-8820.468,-3497.869,-7345.923,3233.582,-10704.071,-2858.833,-599.273,0
14134.702,-9557.562,-8821.607,-3494.114,-7350.863,3235.482,-10706.776,-2842.114,-595.830,0
14134.702,-9554.343,-8817.495,-3492.818,-7341.006,3232.018,-10699.423,-2851.166,-599.876,0
14134.702,-9557.159,-8814.365,-3496.886,-7331.350,3225.424,-10694.058,-2873.026,-617.042,0
14134.703,-9559.998,-8814.478,-3501.222,-7335.038,3225.580,-10697.857,-2872.087,-621.021,0
14134.703,-9561.316,-8819.932,-3502.384,-7348.695,3229.559,-10705.189,-2860.621,-598.043,0
14134.703,-9560.780,-8822.479,-3500.261,-7353.567,3230.811,-10706.463,-2848.909,-577.435,0
14134.703,-9557.896,-8818.501,-3494.561,-7340.670,3229.559,-10700.205,-2850.004,-588.946,0
14134.761,-9559.886,-8813.605,-3495.165,-7329.741,3224.865,-10694.640,-2873.294,-610.873,0
14134.761,-9562.210,-8813.338,-3499.948,-7335.373,3223.323,-10696.808,-2886.303,-615.388,0
14134.761,-9565.094,-8821.652,-3501.490,-7350.125,3229.134,-10703.513,-2849.244,-593.372,0
14134.761,-9562.635,-8822.256,-3496.662,-7353.523,3231.526,-10706.933,-2834.022,-584.878,0
14134.761,-9561.540,-8818.970,-3492.997,-7343.755,3226.117,-10703.625,-2851.501,-609.242,0
14134.761,-9562.501,-8813.650,-3492.214,-7332.579,3224.016,-10695.466,-2873.115,-614.762,0
14134.761,-9565.184,-8815.394,-3496.886,-7337.899,3225.536,-10696.047,-2873.630,-589.438,0
14134.761,-9564.624,-8820.244,-3497.757,-7350.215,3232.688,-10701.233,-2846.651,-570.059,0
